t,n,s,p,qred
GEN_008,n3,lab,4,0
GEN_008,n3,lab,5,0
GEN_008,n3,lab,6,0
GEN_008,n3,lab,7,0
GEN_008,n3,lab,8,0
GEN_008,n3,lab,9,0
GEN_008,n3,lab,10,0
GEN_008,n3,lab,11,0
GEN_008,n3,lab,12,0
GEN_008,n3,fes,1,0
GEN_008,n3,fes,2,0
GEN_008,n3,fes,3,0
GEN_008,n3,fes,4,0
GEN_008,n3,fes,5,0
GEN_008,n3,fes,6,0
GEN_008,n3,fes,7,0
GEN_008,n3,fes,8,0
GEN_008,n3,fes,9,0
GEN_008,n3,fes,10,0
GEN_008,n3,fes,11,0
GEN_008,n3,fes,12,0
GEN_008,n4,lab,1,0
GEN_008,n4,lab,2,0
GEN_008,n4,lab,3,0
GEN_008,n4,lab,4,0
GEN_008,n4,lab,5,0
GEN_008,n4,lab,6,0
GEN_008,n4,lab,7,0
GEN_008,n4,lab,8,0
GEN_008,n4,lab,9,0
GEN_008,n4,lab,10,0
GEN_008,n4,lab,11,0
GEN_008,n4,lab,12,0
GEN_008,n4,fes,1,0
GEN_008,n4,fes,2,0
GEN_008,n4,fes,3,0
GEN_008,n4,fes,4,0
GEN_008,n4,fes,5,0
GEN_008,n4,fes,6,0
GEN_008,n4,fes,7,0
GEN_008,n4,fes,8,0
GEN_008,n4,fes,9,0
GEN_008,n4,fes,10,0
GEN_008,n4,fes,11,0
GEN_008,n4,fes,12,0
GEN_008,n5,lab,1,0
GEN_008,n5,lab,2,0
GEN_008,n5,lab,3,0
GEN_008,n5,lab,4,0
GEN_008,n5,lab,5,0
GEN_008,n5,lab,6,0
GEN_008,n5,lab,7,0
GEN_008,n5,lab,8,0
GEN_008,n5,lab,9,0
GEN_008,n5,lab,10,0
GEN_008,n5,lab,11,0
GEN_008,n5,lab,12,0
GEN_008,n5,fes,1,0
GEN_008,n5,fes,2,0
GEN_008,n5,fes,3,0
GEN_008,n5,fes,4,0
GEN_008,n5,fes,5,0
GEN_008,n5,fes,6,0
GEN_008,n5,fes,7,0
GEN_008,n5,fes,8,0
GEN_008,n5,fes,9,0
GEN_008,n5,fes,10,0
GEN_008,n5,fes,11,0
GEN_008,n5,fes,12,0
